,TEAM,PTS_1H,PTS,HOME,EFG_PCT_RANK_LAST50,FTA_RATE_RANK_LAST50,TOV_PCT_RANK_LAST50,OREB_PCT_RANK_LAST50,OPP_EFG_PCT_RANK_LAST50,OPP_FTA_RATE_RANK_LAST50,OPP_TOV_PCT_RANK_LAST50,OPP_OREB_PCT_RANK_LAST50,PTS_1H_AVG,PTS_AVG
0,TOR,65.0,123.0,0.0,17.0,15.0,10.0,16.0,30.0,9.0,14.0,20.0,56.66,115.14
1,ATL,64.0,121.0,30.0,20.0,10.0,9.0,4.0,28.0,3.0,17.0,21.0,61.8,121.14
2,CLE,50.0,97.0,0.0,10.0,19.0,20.0,12.0,10.0,26.0,6.0,25.0,58.5,115.54
3,PHI,53.0,104.0,30.0,24.0,3.0,1.0,9.0,4.0,12.0,9.0,12.0,59.44,117.22
4,PHX,52.0,110.0,0.0,6.0,1.0,25.0,11.0,5.0,30.0,20.0,9.0,61.28,118.14
5,HOU,57.0,114.0,30.0,28.0,9.0,11.0,10.0,9.0,11.0,23.0,22.0,55.1,113.58
6,LAC,53.0,101.0,0.0,9.0,11.0,12.0,15.0,16.0,17.0,2.0,23.0,58.24,117.38
7,MEM,59.0,95.0,30.0,29.0,21.0,24.0,23.0,8.0,8.0,18.0,24.0,52.46,106.66
8,WAS,57.0,106.0,0.0,23.0,28.0,17.0,30.0,3.0,23.0,1.0,29.0,57.12,114.22
9,OKC,80.0,147.0,30.0,2.0,18.0,2.0,28.0,23.0,22.0,13.0,30.0,60.36,122.08
10,MIA,58.0,106.0,0.0,21.0,8.0,14.0,24.0,11.0,14.0,5.0,4.0,56.54,110.88
11,NOP,58.0,95.0,30.0,12.0,7.0,15.0,8.0,12.0,6.0,11.0,2.0,59.9,117.24
12,MIL,51.0,112.0,0.0,3.0,6.0,5.0,27.0,1.0,20.0,10.0,5.0,60.62,122.5
13,MIN,57.0,107.0,30.0,7.0,4.0,29.0,18.0,6.0,10.0,30.0,8.0,57.5,114.3
14,CHA,29.0,84.0,0.0,27.0,30.0,21.0,25.0,14.0,24.0,24.0,10.0,51.4,107.36
15,GSW,43.0,97.0,30.0,13.0,25.0,22.0,3.0,29.0,13.0,12.0,16.0,58.62,120.14
16,DEN,63.0,127.0,0.0,14.0,23.0,8.0,6.0,25.0,25.0,4.0,28.0,58.4,114.44
17,POR,48.0,112.0,30.0,30.0,17.0,27.0,5.0,7.0,19.0,26.0,14.0,54.2,108.44
18,SAS,59.0,118.0,0.0,26.0,29.0,23.0,22.0,15.0,1.0,22.0,13.0,55.66,111.76
19,LAL,66.0,123.0,30.0,8.0,5.0,18.0,29.0,21.0,7.0,21.0,18.0,60.78,118.28
20,ORL,54.0,116.0,0.0,18.0,2.0,26.0,7.0,4.0,12.0,9.0,12.0,55.8,112.06
21,CLE,50.0,109.0,30.0,10.0,19.0,20.0,12.0,18.0,27.0,3.0,6.0,58.5,115.54
22,DET,43.0,115.0,0.0,22.0,16.0,28.0,17.0,26.0,28.0,8.0,27.0,54.7,113.32
23,IND,72.0,129.0,30.0,1.0,26.0,13.0,19.0,27.0,29.0,28.0,7.0,61.52,123.16
24,NYK,69.0,110.0,0.0,15.0,13.0,19.0,2.0,10.0,26.0,6.0,25.0,57.4,115.74
25,PHI,46.0,96.0,30.0,24.0,3.0,1.0,9.0,17.0,4.0,19.0,3.0,59.44,117.22
26,BKN,48.0,93.0,0.0,25.0,27.0,6.0,13.0,28.0,3.0,17.0,21.0,55.16,112.6
27,TOR,59.0,121.0,30.0,17.0,15.0,10.0,16.0,13.0,16.0,25.0,19.0,56.66,115.14
28,PHX,63.0,113.0,0.0,6.0,1.0,25.0,11.0,19.0,15.0,15.0,26.0,61.28,118.14
29,DAL,60.0,123.0,30.0,11.0,14.0,3.0,26.0,9.0,11.0,23.0,22.0,60.56,118.42
30,BOS,59.0,129.0,0.0,4.0,22.0,4.0,20.0,20.0,18.0,7.0,15.0,62.5,120.5
31,CHI,62.0,112.0,30.0,19.0,20.0,7.0,14.0,2.0,2.0,29.0,11.0,53.38,112.54
32,HOU,50.0,105.0,0.0,28.0,9.0,11.0,10.0,11.0,14.0,5.0,4.0,55.1,113.58
33,NOP,63.0,127.0,30.0,12.0,7.0,15.0,8.0,5.0,30.0,20.0,9.0,59.9,117.24
34,LAC,59.0,107.0,0.0,9.0,11.0,12.0,15.0,3.0,23.0,1.0,29.0,58.24,117.38
35,OKC,61.0,129.0,30.0,2.0,18.0,2.0,28.0,8.0,8.0,18.0,24.0,60.36,122.08
36,WAS,49.0,110.0,0.0,23.0,28.0,17.0,30.0,7.0,19.0,26.0,14.0,57.12,114.22
37,DEN,72.0,130.0,30.0,14.0,23.0,8.0,6.0,23.0,22.0,13.0,30.0,58.4,114.44
38,CHA,56.0,115.0,0.0,27.0,30.0,21.0,25.0,22.0,5.0,27.0,17.0,51.4,107.36
39,UTA,52.0,107.0,30.0,16.0,12.0,30.0,1.0,29.0,13.0,12.0,16.0,58.38,118.72
40,LAL,56.0,110.0,0.0,8.0,5.0,18.0,29.0,14.0,24.0,24.0,10.0,60.78,118.28
41,GSW,67.0,128.0,30.0,13.0,25.0,22.0,3.0,15.0,1.0,22.0,13.0,58.62,120.14
42,SAS,57.0,122.0,0.0,26.0,29.0,23.0,22.0,24.0,21.0,16.0,1.0,55.66,111.76
43,SAC,65.0,127.0,30.0,5.0,24.0,16.0,21.0,21.0,7.0,21.0,18.0,60.02,119.1
46,MIL,57.0,110.0,0.0,3.0,6.0,5.0,27.0,16.0,17.0,2.0,23.0,60.62,122.5
47,MEM,57.0,113.0,30.0,29.0,21.0,24.0,23.0,6.0,10.0,30.0,8.0,52.46,106.66
48,GSW,84.0,140.0,0.0,13.0,25.0,22.0,3.0,22.0,5.0,27.0,17.0,58.62,120.14
49,UTA,71.0,137.0,30.0,16.0,12.0,30.0,1.0,14.0,24.0,24.0,10.0,58.38,118.72
50,MIN,66.0,128.0,0.0,7.0,4.0,29.0,18.0,25.0,25.0,4.0,28.0,57.5,114.3
51,POR,51.0,91.0,30.0,30.0,17.0,27.0,5.0,1.0,20.0,10.0,5.0,54.2,108.44
52,ATL,55.0,99.0,0.0,20.0,10.0,9.0,4.0,29.0,13.0,12.0,16.0,61.8,121.14
53,CHA,61.0,122.0,30.0,27.0,30.0,21.0,25.0,30.0,9.0,14.0,20.0,51.4,107.36
54,NYK,55.0,100.0,0.0,15.0,13.0,19.0,2.0,18.0,27.0,3.0,6.0,57.4,115.74
55,ORL,65.0,118.0,30.0,18.0,2.0,26.0,7.0,17.0,4.0,19.0,3.0,55.8,112.06
56,MIA,60.0,109.0,0.0,21.0,8.0,14.0,24.0,10.0,26.0,6.0,25.0,56.54,110.88
57,PHI,62.0,104.0,30.0,24.0,3.0,1.0,9.0,12.0,6.0,11.0,2.0,59.44,117.22
58,BKN,32.0,86.0,0.0,25.0,27.0,6.0,13.0,2.0,2.0,29.0,11.0,55.16,112.6
59,BOS,68.0,136.0,30.0,4.0,22.0,4.0,20.0,13.0,16.0,25.0,19.0,62.5,120.5
60,CHI,49.0,105.0,0.0,19.0,20.0,7.0,14.0,4.0,12.0,9.0,12.0,53.38,112.54
61,CLE,43.0,108.0,30.0,10.0,19.0,20.0,12.0,20.0,18.0,7.0,15.0,58.5,115.54
62,IND,65.0,127.0,0.0,1.0,26.0,13.0,19.0,28.0,3.0,17.0,21.0,61.52,123.16
63,TOR,71.0,125.0,30.0,17.0,15.0,10.0,16.0,26.0,28.0,8.0,27.0,56.66,115.14
64,HOU,49.0,113.0,0.0,28.0,9.0,11.0,10.0,16.0,17.0,2.0,23.0,55.1,113.58
65,MEM,58.0,121.0,30.0,29.0,21.0,24.0,23.0,5.0,30.0,20.0,9.0,52.46,106.66
66,WAS,60.0,126.0,0.0,23.0,28.0,17.0,30.0,11.0,14.0,5.0,4.0,57.12,114.22
67,NOP,68.0,133.0,30.0,12.0,7.0,15.0,8.0,23.0,22.0,13.0,30.0,59.9,117.24
68,SAS,51.0,93.0,0.0,26.0,29.0,23.0,22.0,19.0,15.0,15.0,26.0,55.66,111.76
69,DAL,56.0,116.0,30.0,11.0,14.0,3.0,26.0,21.0,7.0,21.0,18.0,60.56,118.42
70,SAC,41.0,102.0,0.0,5.0,24.0,16.0,21.0,7.0,19.0,26.0,14.0,60.02,119.1
71,DEN,53.0,98.0,30.0,14.0,23.0,8.0,6.0,24.0,21.0,16.0,1.0,58.4,114.44
72,DET,41.0,100.0,0.0,22.0,16.0,28.0,17.0,9.0,11.0,23.0,22.0,54.7,113.32
73,PHX,70.0,116.0,30.0,6.0,1.0,25.0,11.0,27.0,29.0,28.0,7.0,61.28,118.14
74,LAL,70.0,138.0,0.0,8.0,5.0,18.0,29.0,22.0,5.0,27.0,17.0,60.78,118.28
75,UTA,69.0,122.0,30.0,16.0,12.0,30.0,1.0,15.0,1.0,22.0,13.0,58.38,118.72
76,LAC,52.0,130.0,0.0,9.0,11.0,12.0,15.0,14.0,24.0,24.0,10.0,58.24,117.38
77,GSW,59.0,125.0,30.0,13.0,25.0,22.0,3.0,8.0,8.0,18.0,24.0,58.62,120.14
78,BOS,72.0,118.0,0.0,4.0,22.0,4.0,20.0,13.0,16.0,25.0,19.0,62.5,120.5
79,BKN,57.0,110.0,30.0,25.0,27.0,6.0,13.0,2.0,2.0,29.0,11.0,55.16,112.6
80,OKC,60.0,127.0,0.0,2.0,18.0,2.0,28.0,18.0,27.0,3.0,6.0,60.36,122.08
81,ORL,52.0,113.0,30.0,18.0,2.0,26.0,7.0,3.0,23.0,1.0,29.0,55.8,112.06
82,MIA,69.0,123.0,0.0,21.0,8.0,14.0,24.0,6.0,10.0,30.0,8.0,56.54,110.88
83,MIL,52.0,97.0,30.0,3.0,6.0,5.0,27.0,12.0,6.0,11.0,2.0,60.62,122.5
84,SAC,67.0,125.0,0.0,5.0,24.0,16.0,21.0,9.0,11.0,23.0,22.0,60.02,119.1
85,PHX,64.0,130.0,30.0,6.0,1.0,25.0,11.0,24.0,21.0,16.0,1.0,61.28,118.14
86,MIN,59.0,121.0,0.0,7.0,4.0,29.0,18.0,25.0,25.0,4.0,28.0,57.5,114.3
