,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK
0,1610612737,Atlanta Hawks,10,5,5,0.5,485.0,0.551,0.257,0.107,0.301,0.581,0.216,0.12,0.273,1,14,14,14,4,16,9,2,10,28,9,27,16
1,1610612738,Boston Celtics,10,9,1,0.9,480.0,0.61,0.201,0.126,0.257,0.511,0.192,0.113,0.274,1,1,1,1,10,1,28,8,19,2,6,29,17
2,1610612751,Brooklyn Nets,10,3,7,0.3,480.0,0.544,0.201,0.121,0.249,0.576,0.265,0.131,0.29,1,23,23,23,10,18,26,6,22,26,23,15,22
3,1610612766,Charlotte Hornets,10,4,6,0.4,480.0,0.531,0.203,0.139,0.234,0.554,0.222,0.145,0.247,1,19,19,19,10,22,25,21,28,13,11,4,4
4,1610612741,Chicago Bulls,10,5,5,0.5,490.0,0.553,0.247,0.123,0.279,0.561,0.266,0.138,0.268,1,14,14,14,1,15,11,7,15,17,24,10,10
5,1610612739,Cleveland Cavaliers,10,7,3,0.7,480.0,0.579,0.237,0.128,0.253,0.514,0.183,0.127,0.273,1,5,5,5,10,6,13,12,21,3,2,23,15
6,1610612742,Dallas Mavericks,10,8,2,0.8,480.0,0.59,0.282,0.136,0.237,0.526,0.221,0.123,0.269,1,2,2,2,10,3,2,20,26,6,10,25,12
7,1610612743,Denver Nuggets,10,6,4,0.6,480.0,0.533,0.206,0.13,0.32,0.528,0.239,0.128,0.278,1,12,12,12,10,21,24,15,5,7,18,22,18
8,1610612765,Detroit Pistons,10,3,7,0.3,485.0,0.546,0.218,0.145,0.294,0.571,0.278,0.123,0.23,1,23,23,23,4,17,18,26,11,24,27,26,1
9,1610612744,Golden State Warriors,10,8,2,0.8,485.0,0.557,0.179,0.134,0.335,0.516,0.236,0.132,0.262,1,2,2,2,4,12,30,18,2,5,17,13,9
10,1610612745,Houston Rockets,10,3,7,0.3,480.0,0.514,0.267,0.143,0.32,0.543,0.276,0.132,0.283,1,23,23,23,10,28,6,23,4,12,26,14,19
