,TEAM,PTS_1H,PTS,HOME,EFG_PCT_RANK_LAST10,FTA_RATE_RANK_LAST10,TOV_PCT_RANK_LAST10,OREB_PCT_RANK_LAST10,OPP_EFG_PCT_RANK_LAST10,OPP_FTA_RATE_RANK_LAST10,OPP_TOV_PCT_RANK_LAST10,OPP_OREB_PCT_RANK_LAST10,PTS_1H_AVG,PTS_AVG
0,TOR,65.0,123.0,0.0,25.0,16.0,16.0,13.0,28.0,9.0,27.0,16.0,56.7,112.6
1,ATL,64.0,121.0,30.0,16.0,9.0,2.0,10.0,21.0,5.0,20.0,28.0,63.8,126.4
2,CLE,50.0,97.0,0.0,6.0,13.0,12.0,21.0,22.0,28.0,19.0,14.0,58.0,114.7
3,PHI,53.0,104.0,30.0,26.0,20.0,3.0,12.0,3.0,2.0,23.0,15.0,56.6,112.1
4,PHX,52.0,110.0,0.0,5.0,1.0,27.0,17.0,12.0,26.0,14.0,19.0,63.6,122.0
5,HOU,57.0,114.0,30.0,28.0,6.0,23.0,4.0,8.0,16.0,12.0,27.0,55.0,110.7
6,LAC,53.0,101.0,0.0,11.0,3.0,19.0,20.0,20.0,14.0,3.0,26.0,55.3,116.9
7,MEM,59.0,95.0,30.0,23.0,27.0,28.0,25.0,14.0,3.0,18.0,24.0,52.7,103.8
8,WAS,57.0,106.0,0.0,29.0,29.0,22.0,16.0,11.0,8.0,7.0,23.0,58.5,111.7
9,OKC,80.0,147.0,30.0,2.0,15.0,10.0,24.0,25.0,22.0,24.0,21.0,61.2,122.5
10,MIA,58.0,106.0,0.0,20.0,12.0,5.0,18.0,10.0,20.0,1.0,20.0,55.3,110.6
11,NOP,58.0,95.0,30.0,14.0,17.0,14.0,6.0,4.0,7.0,11.0,3.0,61.2,114.5
12,MIL,51.0,112.0,0.0,13.0,14.0,9.0,27.0,1.0,30.0,8.0,7.0,57.6,111.5
13,MIN,57.0,107.0,30.0,10.0,8.0,17.0,9.0,15.0,12.0,5.0,10.0,57.1,117.4
14,CHA,29.0,84.0,0.0,22.0,25.0,21.0,28.0,5.0,17.0,13.0,9.0,49.4,107.1
15,GSW,43.0,97.0,30.0,12.0,30.0,18.0,2.0,13.0,11.0,4.0,4.0,60.0,123.3
16,DEN,63.0,127.0,0.0,21.0,24.0,15.0,5.0,16.0,21.0,21.0,30.0,57.4,111.5
17,POR,48.0,112.0,30.0,27.0,5.0,25.0,7.0,7.0,18.0,22.0,18.0,54.6,107.4
18,SAS,59.0,118.0,0.0,30.0,21.0,24.0,14.0,9.0,1.0,28.0,29.0,53.8,108.5
19,LAL,66.0,123.0,30.0,7.0,4.0,1.0,29.0,23.0,4.0,16.0,8.0,64.8,121.4
20,ORL,54.0,116.0,0.0,9.0,10.0,29.0,8.0,3.0,2.0,23.0,15.0,57.1,113.9
21,CLE,50.0,109.0,30.0,6.0,13.0,12.0,21.0,19.0,29.0,2.0,5.0,58.0,114.7
22,DET,43.0,115.0,0.0,17.0,18.0,26.0,11.0,18.0,19.0,9.0,25.0,54.9,115.8
23,IND,72.0,129.0,30.0,4.0,23.0,11.0,30.0,24.0,27.0,26.0,1.0,61.6,119.0
24,NYK,69.0,110.0,0.0,24.0,22.0,4.0,3.0,22.0,28.0,19.0,14.0,55.6,110.0
25,PHI,46.0,96.0,30.0,26.0,20.0,3.0,12.0,27.0,15.0,6.0,6.0,56.6,112.1
26,BKN,48.0,93.0,0.0,18.0,26.0,6.0,22.0,21.0,5.0,20.0,28.0,54.3,111.5
27,TOR,59.0,121.0,30.0,25.0,16.0,16.0,13.0,26.0,23.0,15.0,22.0,56.7,112.6
28,PHX,63.0,113.0,0.0,5.0,1.0,27.0,17.0,6.0,10.0,25.0,12.0,63.6,122.0
29,DAL,60.0,123.0,30.0,3.0,2.0,20.0,26.0,8.0,16.0,12.0,27.0,58.9,119.1
30,BOS,59.0,129.0,0.0,1.0,28.0,8.0,19.0,17.0,24.0,10.0,10.0,64.0,123.4
31,CHI,62.0,112.0,30.0,15.0,11.0,7.0,15.0,2.0,6.0,29.0,17.0,54.5,115.1
32,HOU,50.0,105.0,0.0,28.0,6.0,23.0,4.0,10.0,20.0,1.0,20.0,55.0,110.7
33,NOP,63.0,127.0,30.0,14.0,17.0,14.0,6.0,12.0,26.0,14.0,19.0,61.2,114.5
34,LAC,59.0,107.0,0.0,11.0,3.0,19.0,20.0,11.0,8.0,7.0,23.0,55.3,116.9
35,OKC,61.0,129.0,30.0,2.0,15.0,10.0,24.0,14.0,3.0,18.0,24.0,61.2,122.5
36,WAS,49.0,110.0,0.0,29.0,29.0,22.0,16.0,7.0,18.0,22.0,18.0,58.5,111.7
37,DEN,72.0,130.0,30.0,21.0,24.0,15.0,5.0,25.0,22.0,24.0,21.0,57.4,111.5
38,CHA,56.0,115.0,0.0,22.0,25.0,21.0,28.0,30.0,13.0,30.0,13.0,49.4,107.1
39,UTA,52.0,107.0,30.0,19.0,7.0,30.0,1.0,13.0,11.0,4.0,4.0,59.4,117.6
40,LAL,56.0,110.0,0.0,7.0,4.0,1.0,29.0,5.0,17.0,13.0,9.0,64.8,121.4
41,GSW,67.0,128.0,30.0,12.0,30.0,18.0,2.0,9.0,1.0,28.0,29.0,60.0,123.3
42,SAS,57.0,122.0,0.0,30.0,21.0,24.0,14.0,29.0,25.0,17.0,2.0,53.8,108.5
43,SAC,65.0,127.0,30.0,8.0,19.0,13.0,23.0,23.0,4.0,16.0,8.0,61.6,119.4
46,MIL,57.0,110.0,0.0,13.0,14.0,9.0,27.0,20.0,14.0,3.0,26.0,57.6,111.5
47,MEM,57.0,113.0,30.0,23.0,27.0,28.0,25.0,15.0,12.0,5.0,10.0,52.7,103.8
48,GSW,84.0,140.0,0.0,12.0,30.0,18.0,2.0,30.0,13.0,30.0,13.0,60.0,123.3
49,UTA,71.0,137.0,30.0,19.0,7.0,30.0,1.0,5.0,17.0,13.0,9.0,59.4,117.6
50,MIN,66.0,128.0,0.0,10.0,8.0,17.0,9.0,16.0,21.0,21.0,30.0,57.1,117.4
51,POR,51.0,91.0,30.0,27.0,5.0,25.0,7.0,1.0,30.0,8.0,7.0,54.6,107.4
52,ATL,55.0,99.0,0.0,16.0,9.0,2.0,10.0,13.0,11.0,4.0,4.0,63.8,126.4
53,CHA,61.0,122.0,30.0,22.0,25.0,21.0,28.0,28.0,9.0,27.0,16.0,49.4,107.1
