,TEAM,PTS_1H,PTS,HOME,OPP_EFG_PCT_RANK_LAST5,OPP_FTA_RATE_RANK_LAST5,OPP_TOV_PCT_RANK_LAST5,OPP_OREB_PCT_RANK_LAST5,OPP_EFG_PCT_RANK_LAST10,OPP_FTA_RATE_RANK_LAST10,OPP_TOV_PCT_RANK_LAST10,OPP_OREB_PCT_RANK_LAST10,OPP_EFG_PCT_RANK_LAST20,OPP_FTA_RATE_RANK_LAST20,OPP_TOV_PCT_RANK_LAST20,OPP_OREB_PCT_RANK_LAST20
61,ORL,52,113,True,9.0,13.0,7.0,23.0,10.0,7.0,6.0,24.0,4.0,11.0,3.0,23.0
62,MIA,69,123,False,17.0,16.0,15.0,5.0,15.0,17.0,10.0,7.0,18.0,18.0,27.0,2.0
63,MIL,52,97,True,8.0,5.0,3.0,1.0,8.0,8.0,20.0,2.0,6.0,9.0,14.0,9.0
64,SAC,67,125,False,4.0,15.0,12.0,26.0,6.0,10.0,14.0,23.0,8.0,7.0,21.0,22.0
65,PHX,64,130,True,19.0,27.0,25.0,8.0,29.0,26.0,16.0,3.0,25.0,19.0,13.0,7.0
66,MIN,59,121,False,22.0,28.0,17.0,28.0,11.0,23.0,13.0,30.0,24.0,27.0,16.0,27.0
67,POR,51,109,True,2.0,29.0,8.0,21.0,1.0,30.0,4.0,11.0,2.0,29.0,6.0,1.0
68,DET,48,111,False,7.0,1.0,27.0,30.0,9.0,1.0,28.0,29.0,16.0,1.0,25.0,25.0
69,LAL,71,125,True,21.0,30.0,4.0,2.0,23.0,27.0,26.0,1.0,26.0,25.0,28.0,4.0
70,IND,49,102,False,3.0,8.0,18.0,6.0,17.0,15.0,11.0,4.0,30.0,17.0,20.0,3.0
71,CHA,48,111,True,26.0,9.0,5.0,11.0,18.0,18.0,7.0,26.0,27.0,28.0,4.0,19.0
72,PHI,66,123,False,11.0,7.0,23.0,19.0,3.0,2.0,23.0,17.0,3.0,6.0,10.0,8.0
73,CLE,62,121,True,10.0,25.0,9.0,9.0,22.0,28.0,18.0,16.0,19.0,30.0,8.0,29.0
74,CHI,60,136,False,20.0,10.0,29.0,27.0,28.0,9.0,27.0,18.0,29.0,13.0,18.0,17.0
75,ATL,59,126,True,24.0,21.0,26.0,12.0,16.0,24.0,8.0,13.0,20.0,14.0,22.0,6.0
76,SAS,67,122,False,16.0,14.0,19.0,18.0,21.0,4.0,19.0,28.0,23.0,3.0,9.0,30.0
77,TOR,50,99,True,28.0,2.0,6.0,14.0,24.0,6.0,9.0,11.0,22.0,4.0,7.0,18.0
78,NYK,43,103,False,12.0,26.0,20.0,17.0,14.0,25.0,12.0,10.0,15.0,24.0,11.0,15.0
79,HOU,57,105,True,29.0,20.0,10.0,7.0,27.0,14.0,5.0,6.0,5.0,5.0,19.0,5.0
80,NOP,61,96,False,6.0,11.0,2.0,29.0,20.0,13.0,3.0,27.0,21.0,10.0,2.0,28.0
81,MEM,47,87,True,18.0,22.0,1.0,22.0,12.0,16.0,1.0,20.0,12.0,12.0,5.0,13.0
82,DEN,44,95,False,17.0,16.0,15.0,5.0,15.0,17.0,10.0,7.0,18.0,18.0,27.0,2.0
83,MIL,60,112,True,14.0,12.0,21.0,4.0,7.0,19.0,21.0,8.0,7.0,20.0,26.0,10.0
84,WAS,58,104,False,1.0,4.0,16.0,15.0,5.0,11.0,25.0,14.0,13.0,23.0,24.0,21.0
85,DAL,51,112,True,25.0,18.0,24.0,20.0,25.0,21.0,24.0,21.0,9.0,21.0,12.0,26.0
86,GSW,63,129,False,30.0,17.0,30.0,10.0,30.0,12.0,30.0,15.0,28.0,15.0,29.0,11.0
87,UTA,55,107,True,13.0,24.0,12.0,13.0,4.0,20.0,22.0,9.0,14.0,16.0,23.0,14.0
88,MIN,49,121,False,15.0,3.0,22.0,25.0,13.0,3.0,17.0,25.0,11.0,8.0,15.0,24.0
89,LAC,53,100,True,2.0,29.0,8.0,21.0,1.0,30.0,4.0,11.0,2.0,29.0,6.0,1.0
90,BOS,59,110,False,8.0,5.0,3.0,1.0,8.0,8.0,20.0,2.0,6.0,9.0,14.0,9.0
91,MIA,50,106,True,5.0,6.0,28.0,3.0,2.0,5.0,29.0,19.0,1.0,2.0,30.0,12.0
92,SAC,57,113,False,9.0,13.0,7.0,23.0,10.0,7.0,6.0,24.0,4.0,11.0,3.0,23.0
93,OKC,67,127,True,19.0,27.0,25.0,8.0,29.0,26.0,16.0,3.0,25.0,19.0,13.0,7.0
94,OKC,62,111,False,1.0,4.0,16.0,15.0,5.0,11.0,25.0,14.0,13.0,23.0,24.0,21.0
95,DAL,71,146,True,9.0,13.0,7.0,23.0,10.0,7.0,6.0,24.0,4.0,11.0,3.0,23.0
96,DET,58,106,False,15.0,3.0,22.0,25.0,13.0,3.0,17.0,25.0,11.0,8.0,15.0,24.0
97,LAC,49,112,True,21.0,30.0,4.0,2.0,23.0,27.0,26.0,1.0,26.0,25.0,28.0,4.0
98,SAS,48,103,False,27.0,19.0,14.0,24.0,26.0,22.0,15.0,22.0,10.0,26.0,17.0,20.0
99,BKN,60,123,True,28.0,2.0,6.0,14.0,24.0,6.0,9.0,11.0,22.0,4.0,7.0,18.0
100,MEM,49,106,False,3.0,8.0,18.0,6.0,17.0,15.0,11.0,4.0,30.0,17.0,20.0,3.0
101,CHA,58,115,True,6.0,11.0,2.0,29.0,20.0,13.0,3.0,27.0,21.0,10.0,2.0,28.0
102,CHI,50,108,False,23.0,23.0,11.0,16.0,19.0,29.0,2.0,5.0,17.0,22.0,1.0,16.0
103,ORL,52,114,True,24.0,21.0,26.0,12.0,16.0,24.0,8.0,13.0,20.0,14.0,22.0,6.0
104,PHI,59,119,False,25.0,18.0,24.0,20.0,25.0,21.0,24.0,21.0,9.0,21.0,12.0,26.0
105,WAS,56,113,True,10.0,25.0,9.0,9.0,22.0,28.0,18.0,16.0,19.0,30.0,8.0,29.0
106,HOU,49,113,False,20.0,10.0,29.0,27.0,28.0,9.0,27.0,18.0,29.0,13.0,18.0,17.0
107,ATL,57,122,True,12.0,26.0,20.0,17.0,14.0,25.0,12.0,10.0,15.0,24.0,11.0,15.0
108,IND,61,125,False,29.0,20.0,10.0,7.0,27.0,14.0,5.0,6.0,5.0,5.0,19.0,5.0
109,NYK,58,111,True,26.0,9.0,5.0,11.0,18.0,18.0,7.0,26.0,27.0,28.0,4.0,19.0
110,CLE,67,119,False,16.0,14.0,19.0,18.0,21.0,4.0,19.0,28.0,23.0,3.0,9.0,30.0
111,TOR,47,95,True,11.0,7.0,23.0,19.0,3.0,2.0,23.0,17.0,3.0,6.0,10.0,8.0
112,PHX,58,112,False,13.0,24.0,12.0,13.0,4.0,20.0,22.0,9.0,14.0,16.0,23.0,14.0
113,GSW,59,113,True,4.0,15.0,12.0,26.0,6.0,10.0,14.0,23.0,8.0,7.0,21.0,22.0
114,NOP,47,93,False,22.0,28.0,17.0,28.0,11.0,23.0,13.0,30.0,24.0,27.0,16.0,27.0
115,POR,40,84,True,18.0,22.0,1.0,22.0,12.0,16.0,1.0,20.0,12.0,12.0,5.0,13.0
116,ATL,73,127,False,10.0,25.0,9.0,9.0,22.0,28.0,18.0,16.0,19.0,30.0,8.0,29.0
117,PHI,56,121,True,20.0,10.0,29.0,27.0,28.0,9.0,27.0,18.0,29.0,13.0,18.0,17.0
118,WAS,71,129,False,5.0,6.0,28.0,3.0,2.0,5.0,29.0,19.0,1.0,2.0,30.0,12.0
119,BOS,64,133,True,25.0,18.0,24.0,20.0,25.0,21.0,24.0,21.0,9.0,21.0,12.0,26.0
120,HOU,49,104,False,16.0,14.0,19.0,18.0,21.0,4.0,19.0,28.0,23.0,3.0,9.0,30.0
121,TOR,61,107,True,12.0,26.0,20.0,17.0,14.0,25.0,12.0,10.0,15.0,24.0,11.0,15.0
122,CHA,38,84,False,17.0,16.0,15.0,5.0,15.0,17.0,10.0,7.0,18.0,18.0,27.0,2.0
123,MIL,66,120,True,3.0,8.0,18.0,6.0,17.0,15.0,11.0,4.0,30.0,17.0,20.0,3.0
124,DEN,57,106,False,19.0,27.0,25.0,8.0,29.0,26.0,16.0,3.0,25.0,19.0,13.0,7.0
125,SAC,67,135,True,14.0,12.0,21.0,4.0,7.0,19.0,21.0,8.0,7.0,20.0,26.0,10.0
126,NOP,74,122,False,7.0,1.0,27.0,30.0,9.0,1.0,28.0,29.0,16.0,1.0,25.0,25.0
127,LAL,87,139,True,18.0,22.0,1.0,22.0,12.0,16.0,1.0,20.0,12.0,12.0,5.0,13.0
128,GSW,70,131,False,26.0,9.0,5.0,11.0,18.0,18.0,7.0,26.0,27.0,28.0,4.0,19.0
129,IND,58,109,True,13.0,24.0,12.0,13.0,4.0,20.0,22.0,9.0,14.0,16.0,23.0,14.0
130,SAS,44,111,False,23.0,23.0,11.0,16.0,19.0,29.0,2.0,5.0,17.0,22.0,1.0,16.0
131,ORL,61,127,True,28.0,2.0,6.0,14.0,24.0,6.0,9.0,11.0,22.0,4.0,7.0,18.0
132,CLE,59,118,False,27.0,19.0,14.0,24.0,26.0,22.0,15.0,22.0,10.0,26.0,17.0,20.0
133,BKN,51,95,True,11.0,7.0,23.0,19.0,3.0,2.0,23.0,17.0,3.0,6.0,10.0,8.0
134,DAL,59,122,False,29.0,20.0,10.0,7.0,27.0,14.0,5.0,6.0,5.0,5.0,19.0,5.0
135,NYK,48,108,True,1.0,4.0,16.0,15.0,5.0,11.0,25.0,14.0,13.0,23.0,24.0,21.0
136,CHI,52,118,False,6.0,11.0,2.0,29.0,20.0,13.0,3.0,27.0,21.0,10.0,2.0,28.0
137,MEM,56,110,True,24.0,21.0,26.0,12.0,16.0,24.0,8.0,13.0,20.0,14.0,22.0,6.0
138,MIN,63,129,False,17.0,16.0,15.0,5.0,15.0,17.0,10.0,7.0,18.0,18.0,27.0,2.0
139,MIL,53,105,True,2.0,29.0,8.0,21.0,1.0,30.0,4.0,11.0,2.0,29.0,6.0,1.0
140,UTA,66,115,False,4.0,15.0,12.0,26.0,6.0,10.0,14.0,23.0,8.0,7.0,21.0,22.0
141,PHX,75,129,True,30.0,17.0,30.0,10.0,30.0,12.0,30.0,15.0,28.0,15.0,29.0,11.0
142,DEN,59,114,False,7.0,1.0,27.0,30.0,9.0,1.0,28.0,29.0,16.0,1.0,25.0,25.0
143,LAL,49,106,True,14.0,12.0,21.0,4.0,7.0,19.0,21.0,8.0,7.0,20.0,26.0,10.0
144,DET,56,128,False,22.0,28.0,17.0,28.0,11.0,23.0,13.0,30.0,24.0,27.0,16.0,27.0
145,POR,71,122,True,21.0,30.0,4.0,2.0,23.0,27.0,26.0,1.0,26.0,25.0,28.0,4.0
146,TOR,54,123,False,3.0,8.0,18.0,6.0,17.0,15.0,11.0,4.0,30.0,17.0,20.0,3.0
147,CHA,60,117,True,16.0,14.0,19.0,18.0,21.0,4.0,19.0,28.0,23.0,3.0,9.0,30.0
148,CLE,57,114,False,25.0,18.0,24.0,20.0,25.0,21.0,24.0,21.0,9.0,21.0,12.0,26.0
149,WAS,57,106,True,11.0,7.0,23.0,19.0,3.0,2.0,23.0,17.0,3.0,6.0,10.0,8.0
150,GSW,48,127,False,10.0,25.0,9.0,9.0,22.0,28.0,18.0,16.0,19.0,30.0,8.0,29.0
151,PHI,45,104,True,13.0,24.0,12.0,13.0,4.0,20.0,22.0,9.0,14.0,16.0,23.0,14.0
152,ATL,67,117,False,5.0,6.0,28.0,3.0,2.0,5.0,29.0,19.0,1.0,2.0,30.0,12.0
153,BOS,71,125,True,20.0,10.0,29.0,27.0,28.0,9.0,27.0,18.0,29.0,13.0,18.0,17.0
154,SAS,51,104,False,8.0,5.0,3.0,1.0,8.0,8.0,20.0,2.0,6.0,9.0,14.0,9.0
155,MIA,53,116,True,28.0,2.0,6.0,14.0,24.0,6.0,9.0,11.0,22.0,4.0,7.0,18.0
156,NOP,55,117,False,15.0,3.0,22.0,25.0,13.0,3.0,17.0,25.0,11.0,8.0,15.0,24.0
157,LAC,47,106,True,18.0,22.0,1.0,22.0,12.0,16.0,1.0,20.0,12.0,12.0,5.0,13.0
158,DET,70,133,False,19.0,27.0,25.0,8.0,29.0,26.0,16.0,3.0,25.0,19.0,13.0,7.0
159,SAC,63,120,True,21.0,30.0,4.0,2.0,23.0,27.0,26.0,1.0,26.0,25.0,28.0,4.0
160,HOU,75,129,False,26.0,9.0,5.0,11.0,18.0,18.0,7.0,26.0,27.0,28.0,4.0,19.0
161,IND,68,132,True,12.0,26.0,20.0,17.0,14.0,25.0,12.0,10.0,15.0,24.0,11.0,15.0
162,DAL,65,119,False,27.0,19.0,14.0,24.0,26.0,22.0,15.0,22.0,10.0,26.0,17.0,20.0
163,BKN,47,107,True,1.0,4.0,16.0,15.0,5.0,11.0,25.0,14.0,13.0,23.0,24.0,21.0
164,ORL,49,95,False,8.0,5.0,3.0,1.0,8.0,8.0,20.0,2.0,6.0,9.0,14.0,9.0
165,MIA,56,121,True,23.0,23.0,11.0,16.0,19.0,29.0,2.0,5.0,17.0,22.0,1.0,16.0
166,MEM,46,113,False,29.0,20.0,10.0,7.0,27.0,14.0,5.0,6.0,5.0,5.0,19.0,5.0
167,NYK,70,123,True,6.0,11.0,2.0,29.0,20.0,13.0,3.0,27.0,21.0,10.0,2.0,28.0
