,TEAM,PTS_1H,PTS,HOME,EFG_PCT_RANK_LAST20,FTA_RATE_RANK_LAST20,TOV_PCT_RANK_LAST20,OREB_PCT_RANK_LAST20,OPP_EFG_PCT_RANK_LAST20,OPP_FTA_RATE_RANK_LAST20,OPP_TOV_PCT_RANK_LAST20,OPP_OREB_PCT_RANK_LAST20,PTS_1H_AVG,PTS_AVG
180,HOU,75.0,129.0,0.0,29.0,9.0,13.0,6.0,27.0,28.0,5.0,19.0,55.55,114.15
181,IND,68.0,132.0,30.0,9.0,28.0,19.0,16.0,12.0,27.0,14.0,17.0,61.55,118.65
182,DAL,65.0,119.0,0.0,10.0,6.0,10.0,23.0,13.0,25.0,17.0,20.0,58.7,118.1
183,BKN,47.0,107.0,30.0,19.0,25.0,15.0,27.0,16.0,23.0,25.0,21.0,54.05,110.65
184,ORL,49.0,95.0,0.0,18.0,4.0,26.0,5.0,7.0,4.0,16.0,9.0,53.45,108.05
185,MIA,56.0,121.0,30.0,27.0,20.0,14.0,19.0,18.0,22.0,1.0,15.0,53.15,106.6
186,MEM,46.0,113.0,0.0,26.0,22.0,29.0,24.0,5.0,6.0,20.0,5.0,52.95,104.5
187,NYK,70.0,123.0,30.0,20.0,19.0,21.0,2.0,21.0,10.0,2.0,27.0,55.25,111.95
188,MIN,69.0,123.0,0.0,7.0,7.0,23.0,12.0,20.0,14.0,22.0,6.0,57.85,115.45
189,CHI,47.0,129.0,30.0,14.0,18.0,11.0,17.0,3.0,30.0,6.0,1.0,56.25,116.4
190,OKC,68.0,117.0,0.0,8.0,21.0,5.0,26.0,28.0,15.0,29.0,10.0,60.6,119.8
191,UTA,61.0,124.0,30.0,12.0,2.0,28.0,1.0,4.0,11.0,3.0,22.0,62.85,123.85
192,MIL,49.0,106.0,0.0,13.0,10.0,3.0,30.0,6.0,9.0,21.0,23.0,59.55,117.7
193,PHX,48.0,114.0,30.0,1.0,3.0,30.0,22.0,14.0,17.0,26.0,2.0,63.1,121.35
194,LAL,74.0,124.0,0.0,2.0,1.0,4.0,29.0,29.0,12.0,12.0,3.0,63.6,122.7
195,CHA,58.0,118.0,30.0,21.0,29.0,20.0,28.0,9.0,1.0,24.0,26.0,50.75,107.25
196,SAC,59.0,110.0,0.0,4.0,24.0,12.0,18.0,2.0,7.0,9.0,8.0,61.7,120.0
197,CLE,74.0,136.0,30.0,6.0,13.0,9.0,21.0,23.0,20.0,11.0,7.0,58.9,116.75
198,DAL,53.0,118.0,0.0,10.0,6.0,10.0,23.0,19.0,29.0,7.0,28.0,58.7,118.1
199,PHI,57.0,102.0,30.0,23.0,5.0,1.0,11.0,16.0,23.0,25.0,21.0,58.95,113.75
200,LAC,66.0,149.0,0.0,3.0,12.0,7.0,15.0,30.0,13.0,19.0,16.0,57.8,119.8
201,ATL,66.0,144.0,30.0,24.0,8.0,6.0,7.0,15.0,8.0,15.0,24.0,59.9,118.9
202,GSW,43.0,109.0,0.0,11.0,30.0,16.0,4.0,13.0,25.0,17.0,20.0,59.8,123.6
203,BKN,49.0,98.0,30.0,19.0,25.0,15.0,27.0,10.0,18.0,23.0,12.0,54.05,110.65
204,TOR,50.0,100.0,0.0,22.0,15.0,17.0,14.0,17.0,16.0,4.0,14.0,56.55,111.8
205,NOP,67.0,138.0,30.0,15.0,14.0,8.0,9.0,22.0,5.0,8.0,30.0,60.15,117.15
206,ORL,50.0,111.0,0.0,18.0,4.0,26.0,5.0,24.0,24.0,28.0,4.0,53.45,108.05
