,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK
0,1610612737,Atlanta Hawks,20,9,11,0.45,965.0,0.527,0.268,0.124,0.301,0.579,0.236,0.132,0.278,1,20,20,20,10,24,8,6,7,30,13,19,16
1,1610612738,Boston Celtics,20,16,4,0.8,965.0,0.576,0.227,0.113,0.254,0.51,0.193,0.106,0.269,1,1,1,1,10,5,23,2,25,1,2,30,11
2,1610612751,Brooklyn Nets,20,6,14,0.3,970.0,0.541,0.225,0.13,0.25,0.549,0.278,0.133,0.292,1,23,23,23,3,19,25,15,27,13,25,17,20
3,1610612766,Charlotte Hornets,20,6,14,0.3,960.0,0.532,0.206,0.137,0.245,0.577,0.233,0.135,0.252,1,23,23,23,18,21,29,20,28,29,12,12,3
4,1610612741,Chicago Bulls,20,11,9,0.55,980.0,0.564,0.236,0.129,0.276,0.558,0.24,0.129,0.254,1,13,13,13,1,14,18,11,17,20,14,22,6
5,1610612739,Cleveland Cavaliers,20,16,4,0.8,960.0,0.576,0.248,0.127,0.262,0.517,0.22,0.137,0.256,1,1,1,1,18,6,13,9,21,2,7,9,8
6,1610612742,Dallas Mavericks,20,12,8,0.6,960.0,0.572,0.271,0.129,0.257,0.552,0.272,0.123,0.295,1,9,9,9,18,10,6,10,23,16,23,25,21
7,1610612743,Denver Nuggets,20,13,7,0.65,960.0,0.552,0.24,0.14,0.319,0.54,0.249,0.119,0.273,1,6,6,6,18,16,16,24,3,8,19,27,13
8,1610612765,Detroit Pistons,20,5,15,0.25,965.0,0.549,0.238,0.138,0.281,0.568,0.277,0.114,0.252,1,27,27,27,10,17,17,22,13,24,24,28,4
9,1610612744,Golden State Warriors,20,12,8,0.6,975.0,0.572,0.191,0.132,0.318,0.549,0.249,0.128,0.269,1,9,9,9,2,11,30,16,4,10,18,23,12
10,1610612745,Houston Rockets,20,7,13,0.35,970.0,0.516,0.266,0.13,0.305,0.549,0.28,0.135,0.279,1,22,22,22,3,29,9,13,6,12,27,14,17
11,1610612754,Indiana Pacers,20,10,10,0.5,960.0,0.574,0.213,0.135,0.276,0.573,0.282,0.143,0.286,1,16,16,16,18,9,28,19,16,27,28,5,19
12,1610612746,LA Clippers,20,15,5,0.75,960.0,0.578,0.258,0.125,0.277,0.552,0.221,0.133,0.3,1,3,3,3,18,3,12,7,15,15,8,15,24
13,1610612747,Los Angeles Lakers,20,12,8,0.6,970.0,0.58,0.28,0.124,0.242,0.549,0.184,0.123,0.308,1,9,9,9,3,2,1,4,29,9,1,24,26
14,1610612763,Memphis Grizzlies,20,6,14,0.3,960.0,0.523,0.232,0.146,0.255,0.562,0.227,0.154,0.308,1,23,23,23,18,26,22,29,24,21,10,2,27
15,1610612748,Miami Heat,20,10,10,0.5,965.0,0.52,0.233,0.13,0.267,0.537,0.211,0.133,0.264,1,16,16,16,10,27,20,14,19,7,4,16,9
16,1610612749,Milwaukee Bucks,20,11,9,0.55,965.0,0.564,0.263,0.12,0.24,0.55,0.246,0.12,0.251,1,13,13,13,10,13,10,3,30,14,17,26,2
17,1610612750,Minnesota Timberwolves,20,13,7,0.65,970.0,0.575,0.269,0.139,0.283,0.521,0.291,0.139,0.244,1,6,6,6,3,7,7,23,12,3,30,6,1
18,1610612740,New Orleans Pelicans,20,12,8,0.6,960.0,0.563,0.246,0.125,0.298,0.554,0.245,0.144,0.275,1,9,9,9,18,15,14,8,9,17,16,4,14
19,1610612752,New York Knicks,20,13,7,0.65,960.0,0.541,0.236,0.138,0.333,0.536,0.217,0.131,0.253,1,6,6,6,18,20,19,21,2,5,6,20,5
20,1610612760,Oklahoma City Thunder,20,14,6,0.7,970.0,0.575,0.233,0.124,0.252,0.53,0.232,0.148,0.297,1,4,4,4,3,8,21,5,26,4,11,3,22
21,1610612753,Orlando Magic,20,10,10,0.5,965.0,0.542,0.273,0.144,0.311,0.556,0.267,0.156,0.276,1,16,16,16,10,18,4,26,5,18,22,1,15
