,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK
14,1610612763,Memphis Grizzlies,50,19,31,0.38,2405.0,0.518,0.238,0.145,0.271,0.548,0.257,0.15,0.298,1,23,23,23,21,29,21,24,23,16,17,2,23
15,1610612748,Miami Heat,50,29,21,0.58,2405.0,0.536,0.272,0.132,0.27,0.547,0.233,0.139,0.268,1,12,12,12,21,21,8,14,24,12,6,11,2
16,1610612749,Milwaukee Bucks,50,31,19,0.62,2415.0,0.576,0.278,0.124,0.261,0.536,0.247,0.115,0.273,1,8,8,8,11,3,6,5,27,6,10,30,8
17,1610612750,Minnesota Timberwolves,50,35,15,0.7,2410.0,0.567,0.283,0.149,0.281,0.516,0.262,0.14,0.271,1,3,3,3,15,7,4,29,18,1,20,10,5
18,1610612740,New Orleans Pelicans,50,30,20,0.6,2405.0,0.56,0.272,0.133,0.297,0.544,0.254,0.144,0.27,1,9,9,9,21,12,7,15,8,11,14,5,4
19,1610612752,New York Knicks,50,32,18,0.64,2400.0,0.55,0.258,0.135,0.332,0.549,0.229,0.133,0.269,1,6,6,6,24,15,13,19,2,17,4,19,3
20,1610612760,Oklahoma City Thunder,50,36,14,0.72,2420.0,0.58,0.244,0.121,0.249,0.526,0.267,0.156,0.319,1,2,2,2,5,2,18,2,28,3,23,1,29
21,1610612753,Orlando Magic,50,27,23,0.54,2420.0,0.541,0.295,0.147,0.303,0.551,0.282,0.15,0.272,1,17,17,17,5,18,2,26,7,18,27,3,6
22,1610612755,Philadelphia 76ers,50,28,22,0.56,2410.0,0.533,0.288,0.117,0.295,0.542,0.282,0.143,0.302,1,13,13,13,15,24,3,1,9,10,26,6,25
23,1610612756,Phoenix Suns,50,30,20,0.6,2415.0,0.57,0.297,0.146,0.294,0.541,0.247,0.128,0.297,1,9,9,9,11,6,1,25,11,9,11,23,22
24,1610612757,Portland Trail Blazers,50,13,37,0.26,2430.0,0.508,0.246,0.148,0.311,0.566,0.273,0.146,0.315,1,26,26,26,2,30,17,27,5,25,25,4,28
25,1610612758,Sacramento Kings,50,30,20,0.6,2420.0,0.571,0.237,0.134,0.277,0.566,0.266,0.135,0.258,1,9,9,9,5,5,24,16,21,24,21,16,1
26,1610612759,San Antonio Spurs,50,8,42,0.16,2400.0,0.526,0.22,0.143,0.272,0.562,0.239,0.131,0.286,1,28,28,28,24,26,29,23,22,21,7,21,18
27,1610612761,Toronto Raptors,50,18,32,0.36,2410.0,0.544,0.251,0.13,0.288,0.569,0.214,0.134,0.297,1,24,24,24,15,17,15,10,16,28,3,17,21
28,1610612762,Utah Jazz,50,24,26,0.48,2425.0,0.546,0.26,0.154,0.336,0.562,0.23,0.12,0.283,1,19,19,19,4,16,12,30,1,22,5,27,17
29,1610612764,Washington Wizards,50,8,42,0.16,2400.0,0.535,0.228,0.134,0.243,0.563,0.266,0.136,0.329,1,28,28,28,24,23,28,17,30,23,22,13,30
