,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK
0,1610612737,Atlanta Hawks,50,20,30,0.4,2420.0,0.537,0.265,0.128,0.313,0.58,0.247,0.136,0.295,1,22,22,22,5,20,10,9,4,30,9,14,20
1,1610612738,Boston Celtics,50,39,11,0.78,2420.0,0.574,0.238,0.124,0.28,0.521,0.202,0.117,0.275,1,1,1,1,5,4,22,4,20,2,2,29,11
2,1610612751,Brooklyn Nets,50,18,32,0.36,2415.0,0.532,0.233,0.126,0.291,0.548,0.257,0.125,0.291,1,24,24,24,11,25,27,6,13,13,16,25,19
3,1610612766,Charlotte Hornets,50,12,38,0.24,2410.0,0.526,0.206,0.139,0.262,0.578,0.251,0.137,0.282,1,27,27,27,15,27,30,21,25,29,13,12,16
4,1610612741,Chicago Bulls,50,24,26,0.48,2435.0,0.539,0.238,0.126,0.291,0.554,0.259,0.142,0.28,1,19,19,19,1,19,20,7,14,20,18,7,15
5,1610612739,Cleveland Cavaliers,50,34,16,0.68,2410.0,0.564,0.242,0.137,0.291,0.526,0.251,0.14,0.275,1,4,4,4,15,10,19,20,12,4,12,9,12
6,1610612742,Dallas Mavericks,50,28,22,0.56,2400.0,0.561,0.258,0.123,0.262,0.551,0.256,0.136,0.303,1,13,13,13,24,11,14,3,26,19,15,15,26
7,1610612743,Denver Nuggets,50,32,18,0.64,2400.0,0.553,0.237,0.127,0.309,0.537,0.26,0.123,0.28,1,6,6,6,24,14,23,8,6,7,19,26,14
8,1610612765,Detroit Pistons,50,6,44,0.12,2415.0,0.536,0.25,0.149,0.284,0.568,0.295,0.117,0.272,1,30,30,30,11,22,16,28,17,27,29,28,7
9,1610612744,Golden State Warriors,50,25,25,0.5,2430.0,0.557,0.237,0.141,0.322,0.548,0.269,0.126,0.274,1,18,18,18,2,13,25,22,3,14,24,24,10
10,1610612745,Houston Rockets,50,22,28,0.44,2420.0,0.525,0.268,0.13,0.294,0.531,0.301,0.132,0.274,1,21,21,21,5,28,9,11,10,5,30,20,9
11,1610612754,Indiana Pacers,50,28,22,0.56,2400.0,0.583,0.234,0.131,0.281,0.568,0.295,0.142,0.309,1,13,13,13,24,1,26,13,19,26,28,8,27
12,1610612746,LA Clippers,50,34,16,0.68,2400.0,0.565,0.265,0.131,0.29,0.539,0.24,0.133,0.298,1,4,4,4,24,9,11,12,15,8,8,18,24
13,1610612747,Los Angeles Lakers,50,28,22,0.56,2410.0,0.565,0.28,0.134,0.249,0.548,0.201,0.13,0.278,1,13,13,13,15,8,5,18,29,15,1,22,13
